Card,Set,Card Type,Cost,Card-de,Card-fr,Card-nl,Card-es,Card-it,Card-pl,Card-fi,Card-cz
Chancellor,Main Set,Action,3,Kanzler,Chancelier,Raadsheer,Canciller,Cancelliere,Kanclerz,Kansleri,Kanclé?
Chapel,Main Set,Action,2,Kapelle,Chapelle,Kapel,Capilla,Cappella,Kaplica,Kappeli,Kaple
City,Prosperity,Action,5,Stadt,Ville,Stad,Ciudad,Città,,Kaupunki,
Colony,Prosperity,Victory,11,Kolonie,Colonie,Kolonie,Colonia,Colonia,,Siirtomaa,
Conspirator,Intrigue,Action,4,Verschwörer,Conspirateur,Samenzweerder,Conspirador,Cospiratore,Spiskowiec,Vehkeilijä,Spiklenec
Contraband,Prosperity,Treasure,5,Schmuggelware,Contrebande,Smokkelwaar,Contrabando,Contrabbando,,Hämärät Varat,
Coppersmith,Intrigue,Action,4,Kupferschmied,Chaudronnier,Kopersmid,Artesano del Cobre,Battirame,Mennica,Kupariseppä,M?ditepec
Council Room,Main Set,Action,5,Ratsversammlung,Chambre du conseil,Raadszaal,Sala del Consejo,Sala del Consiglio,Sala Obrad,Raatihuone,Zasedání rady
Counting House,Prosperity,Action,5,Leihhaus,Bureau de comptabilité,Boekhouding,Casa de Cuentas,Contabilità,,Tilitoimisto,
Courtyard,Intrigue,Action,2,Burghof,Cour,Binnenplaats,Patio,Cortile di Campagna,Dziedziniec,Sisäpiha,Hradní nádvo?í
Crossroads,Hinterlands,Action,2,Wegkreuzung,Carrefour,,,,,,
Cutpurse,Seaside,Action Attack,4,Beutelschneider,Coupeur de bourses,Beurzensnijder,Ratero,Borseggiatore,,Taskuvaras,Kapsá?
Develop,Hinterlands,Action,3,Aufbau,Développement,,,,,,
Duchess,Hinterlands,Action,2,Herzogin,Duchesse,,,,,,
Duke,Intrigue,Victory,5,Herzog,Duc,Hertog,Duque,Duca,Starosta,Herttua,Vévoda
Embargo,Seaside,Action,2,Embargo,Embargo,Embargo,Embargo,Embargo,,Saarto,Embargo
Embassy,Hinterlands,Action,5,Botschaft,Ambassade,,,,,,
Envoy,Promo,Action,4,Gesandter,Délégué,Gezant,Enviado,Inviato,Pose?,Lähettiläs,
Expand,Prosperity,Action,7,Ausbau,Agrandissement,Uitbreiden,Expansión,Ampliamento,,Laajennus,
Explorer,Seaside,Action,5,Entdecker,Explorateur,Ontdekkingsreiziger,Exploradora,Avventuriero,,Tutkimusmatkailija,Objevitel
Fairgrounds,Cornucopia,Victory,6,Festplatz,Champ de foire,,Recinto Ferial,Mercatino,Odpust,Markkinat,Tržišt?
Familiar,Alchemy,Action Attack,P3,Vertrauter,Familier,Oude bekende,Familiar,Famiglio,,Apuolento,
Farming Village,Cornucopia,Action,4,Bauerndorf,Village agricole,,Poblado Agrícola,Villaggio Agricolo,Farma,Talonpoikaiskylä,Selský dv?r
Farmland,Hinterlands,Victory,6,Fruchtbares Land,Terre agricole,,,,,,
Feast,Main Set,Action,4,Festmahl,Festin,Feest,Banquete,Banchetto,Uczta,Juhlat,Hostina
Festival,Main Set,Action,5,Jahrmarkt,Festival,Festival,Festival,Fiera,Festyn,Pidot,Jarmark
Fishing Village,Seaside,Action Duration,3,Fischerdorf,Village de pêcheurs,Vissersdorp,Pueblo de Pescadores,Villaggio di Pescatori,,Kalastuskylä,Rybá?ská vesnice
Fool's Gold,Hinterlands,Treasure Reaction,2,Katzengold,Or des fous,,,,,,
Forge,Prosperity,Action,7,Kunstschmiede,Forge,Vervalsen,Forja,Incastonare,,Ahjo,
Fortune Teller,Cornucopia,Action Attack,3,Wahrsagerin,Diseuse de bonne aventure,,Adivinadora,Indovina,Cyganka,Ennustaja,V?štkyn?
Gardens,Main Set,Victory,4,Gärten,Jardins,Tuinen,Jardines,Giardini,Ogrody,Puutarha,Zahrady
Ghost Ship,Seaside,Action Attack,5,Geisterschiff,Vaisseau fantôme,De Vliegende Hollander,Barco Fantasma,Nave Fantasma,,Aavelaiva,Lo? duch?
Golem,Alchemy,Action,P4,Golem,Golem,Golem,Golem,Golem,,Golem,
Goons,Prosperity,Action Attack,6,Halsabschneider,Fiers-à-bras,Domkoppen,Matones,Scagnozzi,,Roistot,
Governor,Promo,Action,5,,,,Gobernador,,,,
Grand Market,Prosperity,Action,6,Grosser Markt,Grand marché,Grote markt,Gran Mercado,Mercato di Lusso,,Suurtori,
Great Hall,Intrigue,Action Victory,3,Grosse Halle,Grand Hall,Grote zaal,Gran Sala,Grande Salone,Westybul,Suuri Sali,Velký sál
Haggler,Hinterlands,Action,5,Feilscher,Marchandeur,,,,,,
Hamlet,Cornucopia,Action,2,Weiler,Hameau,,Caserío,Borgo,Folwark,Kyläraitti,Osada
Harem,Intrigue,Treasure Victory,6,Harem,Harem,Harem,Harén,Harem,Harem,Haaremi,Harém
Harvest,Cornucopia,Action,5,Ernte,Récolte,,Cosecha,Mietitura,?niwa,Sadonkorjuu,Sklize?
Haven,Seaside,Action Duration,2,Hafen,Havre,Haven,Puerto,Rada,,Satama,P?ístav
Herbalist,Alchemy,Action,2,Kräuterkundiger,Herboriste,Kruidenexpert,Herbalista,Erborista,,Yrttikauppias,
Highway,Hinterlands,Action,5,Fernstrasse,Route,,,,,,
Hoard,Prosperity,Treasure,6,Hort,Magot,Spaargeld,Tesoro Escondido,Mucchio,,Aarre,
Horn of Plenty,Cornucopia,Treasure,5,Füllhorn,Corne d'abondance,,Cornucopia,Cornucopia,Róg Obfito?ci,Runsaudensarvi,Roh hojnosti
Horse Traders,Cornucopia,Action Reaction,4,Pferdehändler,Maquignons,,Tratantes de Caballos,Mercanti di Cavalli,Banda Koniokradów,Hevoskauppias,Konští handlí?i
Hunting Party,Cornucopia,Action,5,Treibjagd,Chasseurs,,Cacería,Battuta di Caccia,Polowanie,Jahti,Lovci
Ill-Gotten Gains,Hinterlands,Treasure,5,Blutzoll,Argent noir,,,,,,
Inn,Hinterlands,Action,5,Gasthaus,Auberge,,,,,,
Ironworks,Intrigue,Action,4,Eisenhütte,Fonderie,IJzergieterij,Fundición,Fonderia,Huta ?elaza,Rautapaja,Hut?
Island,Seaside,Action Victory,4,Insel,Ile,Eiland,Isla,Isola,,Saari,Ostrov
Jack of all Trades,Hinterlands,Action,4,Lebenskünstler,Touche-à-tout,,,,,,
Jester,Cornucopia,Action Attack,5,Harlekin,Bouffon,,Bufón,Giullare,B?azen,Narri,Šašek
King's Court,Prosperity,Action,7,Königshof,Cour du roi,Koningshof,Corte Real,Corte,,Kuninkaan Hovi,
Laboratory,Main Set,Action,5,Laboratorium,Laboratoire,Laboratorium,Laboratorio,Laboratorio,Laboratorium,Laboratorio,Laborato?
Library,Main Set,Action,5,Bibliothek,Bibliothèque,Bibliotheek,Biblioteca,Biblioteca,Biblioteka,Kirjasto,Knihovna
Lighthouse,Seaside,Action Duration,2,Leuchtturm,Phare,Vuurtoren,Faro,Faro,,Majakka,Maják
Loan,Prosperity,Treasure,3,Lohn,Prêt,Lening,Préstamo,Prestito,,Laina,
Lookout,Seaside,Action,3,Ausguck,Vigie,Uitkijk,Vigia,Vedetta,,Tähystäjä,Strážní koš
Mandarin,Hinterlands,Action,5,Mandarin,Mandarin,,,,,,
Margrave,Hinterlands,Action Attack,5,Markgraf,Margrave,,,,,,
Market,Main Set,Action,5,Markt,Marché,Markt,Mercado,Mercato,Targowisko,Tori,Trh
Masquerade,Intrigue,Action,3,Maskerade,Mascarade,Maskerade,Mascarada,Ballo in Maschera,Maskarada,Naamiaiset,Maškary
Menagerie,Cornucopia,Action,3,Menagerie,Ménagerie,,Colección de Animales,Serraglio,Mena?eria,Villieläintarha,Zv??inec
Merchant Ship,Seaside,Action Duration,5,Handelsschiff,Navire marchand,Handelsschip,Barco Mercante,Nave Mercantile,,Kauppalaiva,Obchodní lo?
Militia,Main Set,Action Attack,4,Miliz,Milice,Militie,Milicia,Milizia,Milicja,Nostoväki,Milice
Mine,Main Set,Action,5,Mine,Mine,Mijn,Mina,Miniera,Kopalnia,Kaivos,D?l
Mining Village,Intrigue,Action,4,Bergwerk,Village minier,Mijndorp,Aldea Minera,Villaggio Minerario,Osada Górnicza,Kaivoskylä,D?lní osada
Minion,Intrigue,Action Attack,5,Lakai,Larbin,Dienaar,Esbirro,Tirapiedi,S?ugus,Kätyri,Služebník
Mint,Prosperity,Action,5,Münzer,Hôtel de la monnaie,Aanmunten,Acuñador,Zecca,,Rahapaja,
Moat,Main Set,Action Reaction,2,Burggraben,Douves,Slotgracht,Foso,Fossato,Fosa,Vallihauta,Hradní p?íkop
Moneylender,Main Set,Action,4,Geldverleiher,Prêteur sur gages,Geldschieter,Prestamista,Usuraio,Lichwiarz,Koronkiskuri,Lichvá?
Monument,Prosperity,Action,4,Denkmal,Monument,Monument,Monumento,Monumento,,Monumentti,
Mountebank,Prosperity,Action Attack,5,Quacksalber,Charlatan,Charlatan,Charlatán,Ciarlatano,,Petkuttaja,
Native Village,Seaside,Action,2,Eingeborenendorf,Village indigène,Inheems dorp,Poblado Indígena,Villaggio Indigeno,,Alkuasukaskylä,Domorodá vesnice
Navigator,Seaside,Action,4,Navigator,Navigateur,Navigator,Navegante,Navigatore,,Luotsi,Navigátor
Noble Brigand,Hinterlands,Action Attack,4,Edler Räuber,Noble brigand,,,,,,
Nobles,Intrigue,Action Victory,6,Adelige,Nobles,Adel,Nobles,Nobili,Szlachta,Aateliset,Šlechtici
Nomad Camp,Hinterlands,Action,4,Nomadencamp,Campement nomade,,,,,,
Oasis,Hinterlands,Action,3,Oase,Oasis,,,,,,
Oracle,Hinterlands,Action,3,Orakel,Oracle,,,,,,
Outpost,Seaside,Action Duration,5,Aussenposten,Avant-poste,Voorpost,Puesto Avanzado,Avamposto,,Rannikkoasema,Strážnice
Pawn,Intrigue,Action,2,Handlanger,Pion,Pion,Peón,Pedina,Giermek,Apuri,P?šák
Pearl Diver,Seaside,Action,2,Perlentaucher,Plongeur de perles,Parelduiker,Pescador de Perlas,Pescatore di Perle,,Helmenkalastaja,Lovec perel
Peddler,Prosperity,Action,8*,Hausierer,Colporteur,Venter,Buhonero,Ambulante,,Kulkukauppias,
Philosopher's Stone,Alchemy,Treasure,P3,Stein der Weisen,Pierre philosophale,Steen der Wijzen,Piedra Filosofal,Pietra Filosofale,,Viisasten Kivi,
Pirate Ship,Seaside,Action Attack,4,Piratenschiff,Bateau pirate,Piratenschip,Barco Pirata,Nave Pirata,,Merirosvolaiva,Pirátská lo?
Platinum,Prosperity,Treasure,9,Platin,Platine,Platina,Platino,Platino,,Platina,
Possession,Alchemy,Action,P6,Besessenheit,Possession,Bezeten,Posesión,Possessione,,Riivaus,
Potion,Alchemy,Treasure,4,Trank,Potion,Toverdrank,Poción,Pozione,,Rohto,
Quarry,Prosperity,Treasure,4,Steinbruch,Carrière,Steengroeve,Cantera,Cava,,Louhos,
Rabble,Prosperity,Action Attack,5,Gesindel,Foule,Gespuis,Chusma,Tumulto,,Rahvas,
Remake,Cornucopia,Action,4,Nachbau,Renouvellement,,Reconstrucción,Rifacimento,Rozbiórka,Jälleenrakennus,Nové provedení
Remodel,Main Set,Action,4,Umbau,Rénovation,Verbouwing,Remodelar,Miglioria,Przebudowa,Muutostyö,P?estavba
Royal Seal,Prosperity,Treasure,5,Königliches Siegel,Sceau royal,Koninklijk zegel,Sello Real,Sigillo Reale,,Sinetti,
Saboteur,Intrigue,Action Attack,5,Saboteur,Saboteur,Saboteur,Saboteador,Sabotatore,Sabota?ysta,Tihulainen,Sabotér
Salvager,Seaside,Action,4,Müllverwerter,Sauveteur,Afvalverwerker,Rescatador,Recupero,,Hylkysukeltaja,Zachránce
Scheme,Hinterlands,Action,3,Komplott,Complot,,,,,,
Scout,Intrigue,Action,4,Späher,Eclaireur,Verkenner,Explorador,Scout,Zwiadowca,Tiedustelija,Zv?d
Scrying Pool,Alchemy,Action Attack,P2,Vision,Bassin divinatoire,Visioen,Hidromancia,Divinazione,,Ennemalja,
Sea Hag,Seaside,Action Attack,4,Seehexe,Sorcière de mer,Zeeheks,Bruja del Mar,Megera del Mare,,Merennoita,Mo?ská ?arod?jnice
Secret Chamber,Intrigue,Action Reaction,2,Geheimkammer,Chambre secrète,Geheime Kamer,Cámara Secreta,Stanza Segreta,Tajna Komnata,Salainen Kammio,Tajemná komnata
Shanty Town,Intrigue,Action,3,Armenviertel,Taudis,Sloppenwijk,Chabolas,Baraccopoli,Rudera,Hökkelikylä,Chudinská ?tvr?
Silk Road,Hinterlands,Victory,4,Seidenstrasse,Route de la soie,,,,,,
Smithy,Main Set,Action,4,Schmiede,Forgeron,Smidse,Herrería,Fucina,Ku?nia,Takomo,Kovárna
Smugglers,Seaside,Action,3,Schmuggler,Contrebandiers,Smokkelaar,Contrabandistas,Contrabbandiere,,Salakuljettajat,Pašeráci
Spice Merchant,Hinterlands,Action,4,Gewürzhändler,Marchand d'épices,,,,,,
Spy,Main Set,Action Attack,4,Spion,Espion,Spion,Espía,Spia,Szpieg,Vakooja,Špion
Stables,Hinterlands,Action,5,Stallungen,Ecuries,,,,,,
Stash,Promo,Treasure,5,Geldversteck,Cachette,Geldbuidel,Alijo,,Zaskórniak,Kätkö,
Steward,Intrigue,Action,3,Verwalter,Intendant,Lakei,Mayordomo,Maggiordomo,Zarz?dca,Käskynhaltija ,Správce
Swindler,Intrigue,Action Attack,3,Trickser,Escroc,Oplichter,Embaucador,Truffatore,Kanciarz,Huijari,Podvodník
Tactician,Seaside,Action Duration,5,Taktiker,Tacticien,Strateeg,Estratega,Stratega,,Taktikko,Taktik
Talisman,Prosperity,Treasure,4,Talisman,Talisman,Talisman,Talismán,Talismano,,Talismaani,
Thief,Main Set,Action Attack,4,Dieb,Voleur,Dief,Ladrón,Ladro,Z?odziej,Varas,Zlod?j
Throne Room,Main Set,Action,4,Thronsaal,Salle du Trône,Troonzaal,Salon del Trono,Sala del Trono,Sala Tronowa,Valtaistuinsali,Tr?nní sál
Torturer,Intrigue,Action Attack,5,Kerkermeister,Bourreau,Folteraar,Torturador,Carceriere,Oprawca,Kiduttaja,Žalá?ník
Tournament,Cornucopia,Action,4,Turnier,Tournoi,,Torneo,Torneo,Turniej Rycerski,Turnajaiset,Turnaj
Trade Route,Prosperity,Action,3,Handelsroute,Route commerciale,Handelsroute,Ruta Comercial,Mercante,,Kauppareitti,
Trader,Hinterlands,Action Reaction,4,Fahrender Händler,Troqueuse,,,,,,
Trading Post,Intrigue,Action,5,Handelsposten,Comptoir,Handelspost,Puesto Comercial,Stazione Commerciale,Faktoria,Kauppa-asema,Obchodní místo
Transmute,Alchemy,Action,P0,Verwandlung,Transmutation,Transformatie,Transmutar,Trasmutazione,,Transmutaatio,
Treasure Map,Seaside,Action,4,Schatzkarte,Carte aux trésors,Schatkaart,Mapa del Tesoro,Mappa del Tesoro,,Aarrekartta,Mapa pokladu
Treasury,Seaside,Action,5,Schatzkammer,Trésorerie,Schatkamer,Tesorería,Tesoreria,,Aarrekammio,Pokladnice
Tribute,Intrigue,Action,5,Tribut,Hommage,Tolheffing,Tributo,Tributo,Danina,Kymmenykset,Dar poddaných
Tunnel,Hinterlands,Victory Reaction,3,Tunnel,Tunnel,,,,,,
University,Alchemy,Action,P2,Universität,Université,Universiteit,Universidad,Università,,Yliopisto,
Upgrade,Intrigue,Action,5,Anbau,Mise à niveau,Opwaardering,Mejora,Potenziamento,Rozbudowa,Parannustyö,Pokrok
Vault,Prosperity,Action,5,Gewölbe,Chambre forte,Schatkelder,Cripta,Nascondiglio,,Holvi,
Venture,Prosperity,Treasure,5,Abenteuer,Entreprise risquée,Waagstuk,Especulación,Soldo,,Palkkio,
Village,Main Set,Action,3,Dorf,Village,Dorp,Aldea,Villaggio,Wioska,Kylä,Vesnice
Vineyard,Alchemy,Victory,P0,Weinberg,Vignoble,Wijnberg,Viñedo,Vigna,,Viinitarha,
Walled Village,Promo,Action,4,,,,Aldea Amurallada,,Kasztel,,
Warehouse,Seaside,Action,3,Lagerhaus,Entrepôt,Pakhuis,Almacén,Magazzino,,Varasto,Skladišt?
Watchtower,Prosperity,Action Reaction,3,Wachturm,Mirador,Uitkijktoren,Atalaya,Torre di Guardia,,Vartiotorni,
Wharf,Seaside,Action Duration,5,Werft,Quai,Scheepswerf,Muelle,Molo,,Laituri,Lod?nice
Wishing Well,Intrigue,Action,3,Wunschbrunnen,Puits aux souhaits,Wensput,Pozo de los Deseos,Pozzo dei Desideri,Studnia ?ycze?,Toivomuskaivo,Studna p?ání
Witch,Main Set,Action Attack,5,Hexe,Sorcière,Heks,Bruja,Strega,Wied?ma,Noita,?arod?jnice
Woodcutter,Main Set,Action,3,Holzfäller,Bûcheron,Houthakker,Leñadores,Taglialegna,Drwal,Metsuri,D?evorubec
Worker's Village,Prosperity,Action,4,Arbeiterdorf,Village ouvrier,Arbeidersdorp,Pueblo de Trabajadores,Cantiere,,Työläiskylä,
Workshop,Main Set,Action,3,Werkstatt,Atelier,Werkplaats,Taller,Officina,Warsztat,Työpaja,Dílna
Young Witch,Cornucopia,Action Attack,4,Junge Hexe,Jeune sorcière,,Bruja Joven,Giovane Strega,M?oda Wied?ma,Nuori Noita,Mladá ?arod?jka
